California Counties,Deaths in 2015
California,262984
Alameda County,10143
Alpine County,3
Amador County,421
Butte County,2359
Calaveras County,482
Colusa County,131
Contra Costa County,7969
Del Norte County,246
El Dorado County,1511
Fresno County,6850
Glenn County,243
Humboldt County,1330
Imperial County,987
Inyo County,143
Kern County,6098
Kings County,783
Lake County,857
Lassen County,143
Los Angeles County,62581
Madera County,1047
Marin County,1915
Mariposa County,169
Mendocino County,889
Merced County,1713
Modoc County,95
Mono County,31
Monterey County,2543
Napa County,1203
Nevada County,981
Orange County,19755
Placer County,3135
Plumas County,173
Riverside County,16414
Sacramento County,11834
San Benito County,304
San Bernardino County,13941
San Diego County,21441
San Francisco County,5831
San Joaquin County,5928
San Luis Obispo County,2372
San Mateo County,4976
Santa Barbara County,3099
Santa Clara County,10454
Santa Cruz County,1754
Shasta County,2165
Sierra County,17
Siskiyou County,534
Solano County,3365
Sonoma County,4182
Stanislaus County,4389
Sutter County,808
Tehama County,667
Trinity County,157
Tulare County,3040
Tuolumne County,748
Ventura County,5794
Yolo County,1281
Yuba County,560
